Unit Name;Agricultural Sciences;Baseline for All Items;Biology & Biochemistry;Chemistry;Clinical Medicine;Computer Science;Economics & Business;Engineering;Environment/Ecology;Geosciences;Global Baseline;Immunology;Materials Science;Mathematics;Microbiology;Molecular Biology & Genetics;Multidisciplinary;Neuroscience & Behavior;Pharmacology & Toxicology;Physics;Plant & Animal Science;Psychiatry/Psychology;Social Sciences, general;Space Science
1980_GERMANY (FED REP GER);0.02698941663309774;0;0.09041637675321346;0.14282052221042224;0.27538726333907054;0.006481854469549932;0.007690335811330428;0.04475043029259897;0.0045409601933570146;0.014575017394807193;0;0.019628666642252903;0.025817555938037865;0.02695279598637712;0.010912952722745084;0.039000988757461455;0.004431098253195151;0.021313216391401473;0.03936719522466767;0.0858021752664152;0.051122422821987035;0.016296187790676382;0.032958582048558976;0.012743985058776138
1981_GERMANY (FED REP GER);0.02242449605914766;0;0.08108390876752458;0.13660458952361024;0.2900188323917137;0.00823045267489712;0.007219083490269931;0.038397154216363256;0.006905210295040804;0.016042407756155404;0;0.02312199204854572;0.03142219432238265;0.02824858757062147;0.010811187835669945;0.03020157634093604;0.004603473530027202;0.02573760200878845;0.03463067587361373;0.09105810141591686;0.04833647206528562;0.015170537769407825;0.03344493269163702;0.016286531352444723
1982_GERMANY (FED REP GER);0.02210421931480119;0;0.08697738396084578;0.1331691244681872;0.29960653849844854;0.009180768369533925;0.008029173730846741;0.04644765042704968;0.005502063273727648;0.01644221234125588;0;0.020440804836697482;0.02479127347173795;0.027894181248200634;0.010780205367710566;0.03381209814145421;0.004094558715332203;0.023991554972649626;0.0382905217363488;0.08221106170627938;0.04551997696810722;0.016634144781037075;0.029557595726304342;0.014522887943443908
1983_GERMANY (FED REP GER);0.021501706484641638;0;0.09286379149860378;0.13366428793049953;0.28054607508532425;0.009246044058330748;0.00862550418864412;0.04455476264349984;0.007043127520943221;0.01771641327955321;0;0.02131554452373565;0.02811045609680422;0.025286999689730066;0.013093391250387837;0.02634191746819733;0.0038163201985727583;0.029134346881787156;0.032826559106422584;0.08997828110456096;0.04740924604405833;0.01877133105802048;0.03375736891095253;0.014396524976729755
1984_GERMANY (FED REP GER);0.02114527037004223;0;0.08626443400962759;0.1336345648386049;0.27698532234724316;0.00903694515814654;0.008505360148843802;0.04807891084138094;0.007589852632822421;0.020377425356604945;0;0.018959865331797644;0.025870470452733232;0.02879418800389829;0.013909807743421635;0.028616993000797376;0.003780160066152801;0.031836035557130625;0.03319453058090428;0.09267298662177727;0.04624789580933818;0.01833968282094445;0.03118632054576061;0.01497297776202711
1985_GERMANY (FED REP GER);0.02181602105203588;0;0.07634192580855098;0.12840610056308538;0.30016128575875045;0.008799977363402281;0.0073285985116437;0.04765003819925865;0.007583260235986531;0.017316997255312525;0;0.01898644633711553;0.024787074502702244;0.026371636343057638;0.011940805296963865;0.03237033473868878;0.003819925865142469;0.03149316657706347;0.03593559887948841;0.0911688973147336;0.045046829461531934;0.017939503692595005;0.02948416852947002;0.015251407713420673
1986_GERMANY (FED REP GER);0.018965470327338033;0;0.07436532339256074;0.1187994884492939;0.2993660036461593;0.011836412614622732;0.006911376561182008;0.04326412886724171;0.007782101167315175;0.015400941470980381;0;0.02323746292617888;0.023563984653478816;0.02677478163859487;0.013360180675355772;0.035672498707518166;0.00468014475796577;0.039672389866942395;0.034448042230143396;0.09232401839405731;0.050556447443606975;0.01823079644091317;0.0262577889037033;0.014530216864847215
1987_GERMANY (FED REP GER);0.01852506183433446;0;0.09053051335116855;0.11571854020493665;0.28320125182979156;0.011231134218363536;0.008126798243400131;0.04103780727878451;0.007748220685477765;0.01526929483620211;0;0.019786987027409015;0.02268941497148049;0.0240775326838625;0.014638332239664832;0.04033112917066276;0.0040886376255615565;0.03475341981727323;0.03450103477865832;0.10060067639190348;0.05133511685427288;0.017061228610367976;0.02528898086921407;0.01945888647720963
1988_GERMANY (FED REP GER);0.02051322049762109;0;0.08753867353040584;0.12099940202272313;0.27044172321451787;0.012193536645607466;0.008215687803863453;0.0430543639341705;0.00920365026129007;0.016405376595689365;0;0.021917167147648388;0.023581103918051113;0.023009125653225177;0.01292150898265866;0.030054857915399216;0.0023399110833788317;0.042924368873982786;0.03541065439513298;0.10708993058263785;0.048774146582429866;0.017965317317941917;0.030548839144112525;0.014897433897511895
1989_GERMANY (FED REP GER);0.02000753985351142;0;0.09341339939681172;0.12276497199482982;0.2360781990521327;0.013625592417061612;0.00805148642826368;0.044915984489444206;0.011875269280482551;0.01849956915122792;0;0.017880224041361484;0.03164045669969841;0.025850926324859975;0.015941404566996983;0.03360620422231796;0.002154243860404998;0.034333261525204654;0.031182679879362345;0.11921046962516157;0.052536622145626884;0.019738259370960794;0.029243860404997844;0.017449375269280483
1990_GERMANY (FED REP GER);0.022304832713754646;0;0.0897604818596772;0.1321820149640017;0.21653098677709284;0.01663451131711449;0.0071996611924144745;0.044350854077455176;0.015458096089595783;0.01790503976283469;0;0.016022775398804763;0.029363324078866878;0.028586890028704532;0.01555220930779728;0.031622041315702794;0.001882264364029928;0.035480683261964144;0.03541009834831302;0.1203708060797139;0.056256176179944474;0.018093266199237682;0.03110441861559456;0.017928568067385065
1991_GERMANY (FED REP GER);0.01972373340497459;0;0.08952918261804016;0.13481988940381043;0.21642375803165648;0.019701345512346924;0.007522331922896097;0.047619047619047616;0.011887970985291155;0.018290908276803904;0;0.017977477780016567;0.03183558331654241;0.027111737972104685;0.01647748897396288;0.03297736584055343;0.001567152483936687;0.03548480981485213;0.028902769382318044;0.12678263595047798;0.05245483242662368;0.016544652651845883;0.029037096738084044;0.017328228893814225
